"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\acer\workspace1\langtube\lib\crud\subtitles_cache_manager\cache_manager.dart", "Dart", -106, -1, -5, -112
"c:\Users\acer\workspace1\langtube\lib\crud\subtitles_cache_manager\impl\cache_manager_impl.dart", "Dart", 133, 0, 11, 144
"c:\Users\acer\workspace1\langtube\lib\crud\subtitles_cache_manager\impl\mutxed_cache_manager.dart", "Dart", 62, 0, 10, 72
"c:\Users\acer\workspace1\langtube\lib\crud\subtitles_cache_manager\impl\user_uploaded_cache_manager.dart", "Dart", 23, 1, 5, 29
"c:\Users\acer\workspace1\langtube\lib\crud\subtitles_cache_manager\impl\youtube_cache_manager.dart", "Dart", 40, 0, 9, 49
"c:\Users\acer\workspace1\langtube\lib\crud\subtitles_cache_manager\mutxed_cache_manager.dart", "Dart", 0, 0, -1, -1
"c:\Users\acer\workspace1\langtube\lib\crud\subtitles_cache_manager\user_uploaded_cache_manager.dart", "Dart", 0, 0, -1, -1
"c:\Users\acer\workspace1\langtube\lib\crud\subtitles_cache_manager\utils\decorator.dart", "Dart", 10, 0, 3, 13
"c:\Users\acer\workspace1\langtube\lib\crud\subtitles_cache_manager\utils\mutexed.dart", "Dart", -64, 0, -11, -75
"c:\Users\acer\workspace1\langtube\lib\crud\subtitles_cache_manager\youtube_cache_manager.dart", "Dart", -39, 0, -8, -47
"Total", "-", 59, 0, 12, 71